text,target
"From: rych@festival.ed.ac.uk (R Hawkes) Subject: 3DS: Where did all the texture rules go? Lines: 21  Hi,  I've noticed that if you only save a model (with all your mapping planes positioned carefully) to a .3DS file that when you reload it after restarting 3DS, they are given a default position and orientation.  But if you save to a .PRJ file their positions/orientation are preserved.  Does anyone know why this information is not stored in the .3DS file?  Nothing is explicitly said in the manual about saving texture rules in the .PRJ file.  I'd like to be able to read the texture rule information, does anyone have  the format for the .PRJ file?  Is the .CEL file format available from somewhere?  Rych  ====================================================================== Rycharde Hawkes				email: rych@festival.ed.ac.uk Virtual Environment Laboratory Dept. of Psychology			Tel  : +44 31 650 3426 Univ. of Edinburgh			Fax  : +44 31 667 0150 ====================================================================== ",comp.graphics
"Subject: Re: Biblical Backing of Koresh's 3-02 Tape (Cites enclosed) From: kmcvay@oneb.almanac.bc.ca (Ken Mcvay) Organization: The Old Frog's Almanac Lines: 20  In article <20APR199301460499@utarlg.uta.edu> b645zaw@utarlg.uta.edu (stephen) writes:  >Seems to me Koresh is yet another messenger that got killed >for the message he carried. (Which says nothing about the   Seems to be, barring evidence to the contrary, that Koresh was simply another deranged fanatic who thought it neccessary to take a whole bunch of folks with him, children and all, to satisfy his delusional mania. Jim Jones, circa 1993.  >In the mean time, we sure learned a lot about evil and corruption. >Are you surprised things have gotten that rotten?  Nope - fruitcakes like Koresh have been demonstrating such evil corruption for centuries. --  The Old Frog's Almanac - A Salute to That Old Frog Hisse'f, Ryugen Fisher       (604) 245-3205 (v32) (604) 245-4366 (2400x4) SCO XENIX 2.3.2 GT    Ladysmith, British Columbia, CANADA. Serving Central Vancouver Island   with public access UseNet and Internet Mail - home to the Holocaust Almanac ",talk.religion.misc
"From: Mark.Perew@p201.f208.n103.z1.fidonet.org Subject: Re: Comet in Temporary Orbit Around Jupiter? X-Sender: newtout 0.08 Feb 23 1993 Lines: 15  In a message of <Apr 19 04:55>, jgarland@kean.ucs.mun.ca writes:   >In article <1993Apr19.020359.26996@sq.sq.com>, msb@sq.sq.com (Mark Brader)   >writes:  MB>                                                             So the MB> 1970 figure seems unlikely to actually be anything but a perijove.  JG>Sorry, _perijoves_...I'm not used to talking this language.  Couldn't we just say periapsis or apoapsis?     --- msged 2.07 ",sci.space
"From: dpw@sei.cmu.edu (David Wood) Subject: Request for Support Organization: Software Engineering Institute Lines: 35    I have a request for those who would like to see Charley Wingate respond to the ""Charley Challenges"" (and judging from my e-mail, there appear to be quite a few of you.)    It is clear that Mr. Wingate intends to continue to post tangential or unrelated articles while ingoring the Challenges themselves.  Between the last two re-postings of the Challenges, I noted perhaps a dozen or more posts by Mr. Wingate, none of which answered a single Challenge.    It seems unmistakable to me that Mr. Wingate hopes that the questions will just go away, and he is doing his level best to change the subject.  Given that this seems a rather common net.theist tactic, I would like to suggest that we impress upon him our desire for answers, in the following manner:  1. Ignore any future articles by Mr. Wingate that do not address the Challenges, until he answers them or explictly announces that he refuses to do so.  --or--  2. If you must respond to one of his articles, include within it something similar to the following:      ""Please answer the questions posed to you in the Charley Challenges.""  Really, I'm not looking to humiliate anyone here, I just want some honest answers.  You wouldn't think that honesty would be too much to ask from a devout Christian, would you?    Nevermind, that was a rhetorical question.  --Dave Wood ",alt.atheism
"From: prb@access.digex.com (Pat) Subject: Conference on Manned Lunar Exploration.  May 7  Crystal City Organization: Express Access Online Communications, Greenbelt MD USA Lines: 9 Distribution: na NNTP-Posting-Host: access.digex.net   AW&ST  had a brief blurb on a Manned Lunar Exploration confernce May 7th  at Crystal City Virginia, under the auspices of AIAA.  Does anyone know more about this?  How much, to attend????  Anyone want to go?  pat ",sci.space
"From: Nanci Ann Miller <nm0w+@andrew.cmu.edu> Subject: Re: Genocide is Caused by Atheism Organization: Sponsored account, School of Computer Science, Carnegie Mellon, Pittsburgh, PA Lines: 27 NNTP-Posting-Host: andrew.cmu.edu In-Reply-To: <1993Apr5.020504.19326@ultb.isc.rit.edu>  snm6394@ultb.isc.rit.edu (S.N. Mozumder ) writes: > More horrible deaths resulted from atheism than anything else.  There are definitely quite a few horrible deaths as the result of both atheists AND theists.  I'm sure Bobby can list quite a few for the atheist side but fails to recognize that the theists are equally proficient at genocide.  Perhaps, since I'm a bit weak on history, somone here would like to give a list of wars caused/led by theists?  I can think of a few (Hitler claimed to be a Christian for example) but a more complete list would probably be more effective in showing Bobby just how absurd his statement is.  > Peace,  On a side note, I notice you always sign your posts ""Peace"".  Perhaps you should take your own advice and leave the atheists in peace with their beliefs?  > Bobby Mozumder  Nanci  ......................................................................... If you know (and are SURE of) the author of this quote, please send me email (nm0w+@andrew.cmu.edu): Lying to ourselves is more deeply ingrained than lying to others.  ",alt.atheism
"From: Wales.Larrison@ofa123.fidonet.org Subject: Re: Clementine mission name X-Sender: newtout 0.08 Feb 23 1993 Lines: 27  Mark Prado    >Please go just one step further: >How has the word ""Clementine"" been associated with mining?    Old pioneer song from the 1850's or so goes as follows:      ""In a cavern, in a canyon,    Excavating for a mine,    Dwelt a miner, forty-niner,    And his daughter, CLEMENTINE""    Chorus:   ""Oh my darling, Oh my darling,    Oh my darling Clementine.    You are lost and gone forever,    Oh my darling Clementine.""     I've also had it explained (but not confirmed from a reliable data source) that CLEMENTINE is an acronym.  Something like Combined Lunar Elemental Mapper Experiment on Extended Non Terrestrial Intercept Near Earth.  Personally, I think that acronym was made up to fit the name (if it really is an acronym).  ------------------------------------------------------------------  Wales Larrison                           Space Technology Investor  --- Maximus 2.01wb ",sci.space
"From: mjw19@cl.cam.ac.uk (M.J. Williams) Subject: Re: Rumours about 3DO ??? Keywords: 3DO ARM QT Compact Video Reply-To: mjw19@cl.cam.ac.uk Organization: The National Society for the Inversion of Cuddly Tigers Lines: 32 Nntp-Posting-Host: earith.cl.cam.ac.uk  In article <2BD07605.18974@news.service.uci.edu> rbarris@orion.oac.uci.edu (Robert C. Barris) writes: >                                                                     We >got to see the unit displaying full-screen movies using the CompactVideo codec >(which was nice, very little blockiness showing clips from Jaws and Backdraft) >... and a very high frame rate to boot (like 30fps).  Acorn Replay running on a 25MHz ARM 3 processor (the ARM 3 is about 20% slower than the ARM 6) does this in software (off a standard CD-ROM). 16 bit colour at about the same resolution (so what if the computer only has 8 bit colour support, real-time dithering too...). The 3D0/O is supposed to have a couple of DSPs - the ARM being used for housekeeping.  >I'm not sure how a Centris/20MHz 040 stacks up against the 25 MHz ARM in >the 3DO box. Obviously the ARM is faster, but how much?  A 25MHz ARM 6xx should clock around 20 ARM MIPS, say 18 flat out. Depends really on the surrounding system and whether you are talking ARM6x or ARM6xx (the latter has a cache, and so is essential to run at this kind of speed with slower memory).  I'll stop saying things there 'cos I'll hopefully be working for ARM after graduation...  Mike  PS Don't pay heed to what reps from Philips say; if the 3D0/O doesn't beat the    pants off 3DI then I'll eat this postscript. -- ____________________________________________________________________________ \  /  / Michael Williams                     Part II Computer Science Tripos |\/|\/\ MJW19@phx.cam.ac.uk                          University of Cambridge |  |(__)Cymdeithas Genedlaethol Traddodiad Troi Teigrod Mwythus Ben I Waered ",comp.graphics
"From: henry@zoo.toronto.edu (Henry Spencer) Subject: Re: japanese moon landing? Organization: U of Toronto Zoology Lines: 14  In article <C5Kys1.C6r@panix.com> dannyb@panix.com (Daniel Burstein) writes: >A short story in the newspaper a few days ago made some sort of mention >about how the Japanese, using what sounded like a gravity assist, had just >managed to crash (or crash-land) a package on the moon.  Their Hiten engineering-test mission spent a while in a highly eccentric Earth orbit doing lunar flybys, and then was inserted into lunar orbit using some very tricky gravity-assist-like maneuvering.  This meant that it would crash on the Moon eventually, since there is no such thing as a stable lunar orbit (as far as anyone knows), and I believe I recall hearing recently that it was about to happen. --  All work is one man's work.             | Henry Spencer @ U of Toronto Zoology                     - Kipling           |  henry@zoo.toronto.edu  utzoo!henry ",sci.space
"From: hendrix@oasys.dt.navy.mil (Dane Hendrix) Subject: Processing of stereo images Reply-To: hendrix@oasys.dt.navy.mil (Dane Hendrix) Organization: Code 1542, DTMB, Bethesda, MD Lines: 16  I'm interested in find out what is involved in processing pairs of  stereo photographs.  I have black-and-white photos and would like  to obtain surface contours.  I'd prefer to do the processing on an SGI, but would be interested in hearing what software/hardware is used for this type of image processing.  Please email and/or post to comp.sys.sgi.graphics your responses.  Thanks,  Dane Hendrix                              | email: dane@wizard.dt.navy.mil  DTMB (a.k.a. Headquarters, Carderock Div.,|  or hendrix@oasys.dt.navy.mil Naval Surface Warfare Center)             |  or hendrix@nas.nasa.gov  Code 1542, Bethesda, MD 20084-5000        | phone: (301)227-1340 ",comp.graphics
"From: prb@access.digex.com (Pat) Subject: Re: Comet in Temporary Orbit Around Jupiter? Organization: Express Access Online Communications USA Lines: 23 Distribution: world NNTP-Posting-Host: access.digex.net  In article <6APR199314571378@kelvin.jpl.nasa.gov> baalke@kelvin.jpl.nasa.gov (Ron Baalke) writes: |Comet Gehrels 3, which was discovered in 1977, was determined to have |been in a temporary Jovian orbit from 1970 to 1973.  Comet Shoemaker-Levy 1993e |may remain in orbit around Jupiter long enough to allow Galileo to |make some closeup observations.  The orbital trajectory for Comet |Shoemaker-Levy is still being determined. a  What about positional uncertainties in S-L 1993e?   I assume we know where and what Galileo is doing within a few meters.   But without the HGA,  don't we have to have some pretty good ideas, of where to look before imaging?  If the HGA was working,  they could slew around in near real time (Less speed of light delay).  But when they were imaging toutatis????  didn't someone have to get lucky on a guess to find the first images?     Also, I imagine S-L 1993e will be mostly a visual image.  so how will that affect the other imaging missions.  with the LGA,  there is a real tight allocation of bandwidth.   It may be premature to hope for answers, but I thought i'd throw it on the floor.  pat  ",sci.space
"From: zemcik@ls (Pavel Zemcik) Subject: Tseng ET4000 pixel clock Organization: Technical University of Brno, Czech Republic Keywords: ET4000 SVGA pixel clock Summary: Is there anybody who knows how to set ET4000 SVGA pixel clock? Lines: 19  I would like to program Tseng ET4000 to nonstandard 1024x768 mode by switching to standard 1024x768 mode using BIOS and than changing some timing details (0x3D4 registers 0x00-0x1F) but I don't know how to select 36 MHz pixel clock I need. The BIOS function selects 40 MHz.  Is there anybody who knows where to obtain technical info about this. I am also interested in any other technical information about Tseng ET4000 and Trident 8900 and 9000 chipsets.  			thanks very much  						Pavel Zemcik 						Dept. of Comp. Sci. & Eng. 						Technical University of Brno 						Bozetechova 2 				      CS-612 66 Brno 						Czech Republic 						e-mail: zemcik@dcse.fee.vutbr.cs  ",comp.graphics
