text,target
"From: jaeger@buphy.bu.edu (Gregg Jaeger) Subject: Re: Yet more Rushdie [Re: ISLAMIC LAW] Organization: Boston University Physics Department Lines: 14  In article <1qi3l5$jkj@fido.asd.sgi.com> livesey@solntze.wpd.sgi.com (Jon Livesey) writes:  >I hope an Islamic Bank is something other than BCCI, which >ripped off so many small depositors among the Muslim >community in the Uk and elsewhere.  >jon.  Grow up, childish propagandist.     Gregg ",0
"Subject: Fluids vs Liquids From: mikec@sail.LABS.TEK.COM (Micheal Cranford) Organization: Tektronix, Inc., Beaverton,  OR. Lines: 18  west@next02.wam.umd.edu (Brian West) writes: [ deleted ] >A similar analogy can be made with glass. For those of you who don't  >know, glass is a liquid (go ask your science teacher) and DOES flow. [ deleted ]    If your science teacher tells you glass is a liquid, try to get a different science teacher B^).  Glass is a supercooled fluid, it is not a liquid (except at very high temperatures).  The definition of liquid includes ""readily takes the form of its container"".  Let's try to be more accurate here.  We don't want people to think we're creationists now do we?     UUCP:  uunet!tektronix!sail!mikec  or                  M.Cranford          uunet!tektronix!sail.labs.tek.com!mikec         Principal Troll   ARPA:  mikec%sail.LABS.TEK.COM@RELAY.CS.NET            Resident Skeptic   CSNet: mikec@sail.LABS.TEK.COM                         TekLabs, Tektronix  ",0
"From: jbh55289@uxa.cso.uiuc.edu (Josh Hopkins) Subject: Re: Solar Sail Data Keywords: Solar Sail Organization: University of Illinois at Urbana Lines: 25  ajjb@adam4.bnsc.rl.ac.uk (Andrew Broderick) writes:  >In article <1993Apr15.051746.29848@news.duc.auburn.edu> snydefj@eng.auburn.edu writes: >> >>I am looking for any information concerning projects involving Solar >> Sails  >I was at an interesting seminar at work (UK's R.A.L. Space Science >Dept.) on this subject, specifically on a small-scale Solar Sail >proposed as a student space project. The guy giving the talk was keen to >generate interest in the project. I'll typein the handout he gave out at >the meeting. Here goes :   [Stuff deleted]   >However it is more difficult to design a practical solar sail than most >people realize. The pressure of sunlight is only about one kilogram per >square kilometer.     ^^^^                                   ^^^^      I'm glad to see that someone is working on this.  However, it would be nice if he got his units right. --  Josh Hopkins                                          jbh55289@uxa.cso.uiuc.edu 		    ""Find a way or make one."" 	             -attributed to Hannibal ",2
"From: keith@cco.caltech.edu (Keith Allan Schneider) Subject: Re: Moraltiy? (was Re: <Political Atheists?) Organization: California Institute of Technology, Pasadena Lines: 34 NNTP-Posting-Host: punisher.caltech.edu  livesey@solntze.wpd.sgi.com (Jon Livesey) writes:  >>>>What if I act morally for no particular reason?  Then am I moral?  What >>>>if morality is instinctive, as in most animals? >>>Saying that morality is instinctive in animals is an attempt to  >>>assume your conclusion. >>Which conclusion? >You conclusion - correct me if I err - that the behaviour which is >instinctive in animals is a ""natural"" moral system.  See, we are disagreeing on the definition of moral here.  Earlier, you said that it must be a conscious act.  By your definition, no instinctive behavior pattern could be an act of morality.  You are trying to apply human terms to non-humans.  I think that even if someone is not conscious of an alternative, this does not prevent his behavior from being moral.  >>You don't think that morality is a behavior pattern?  What is human >>morality?  A moral action is one that is consistent with a given >>pattern.  That is, we enforce a certain behavior as moral. >You keep getting this backwards.  *You* are trying to show that >the behaviour pattern is a morality.  Whether morality is a behavior  >pattern is irrelevant, since there can be behavior pattern, for >example the motions of the planets, that most (all?) people would >not call a morality.  I try to show it, but by your definition, it can't be shown.  And, morality can be thought of a large class of princples.  It could be defined in terms of many things--the laws of physics if you wish.  However, it seems silly to talk of a ""moral"" planet because it obeys the laws of phyics.  It is less silly to talk about animals, as they have at least some free will.  keith ",0
"From: idr@rigel.cs.pdx.edu (Ian D Romanick) Subject: Re: Rumours about 3DO ??? Article-I.D.: pdxgate.7272 Organization: Portland State University, Computer Science Dept. Lines: 20  In article <1993Apr15.164940.11632@mercury.unt.edu> mcmains@unt.edu (Sean McMains) writes: > >Wow! A 68070! I'd be very interested to get my hands on one of these, >especially considering the fact that Motorola has not yet released the >68060, which is supposedly the next in the 680x0 lineup. 8-D  A 68070 is just a 68010 with a built in MMU.  I don't even think that Moto. manufactures them.                                    - Ian Romanick                                     Dancing Fool of Epsilon  []--------------------------------------------------------------------[]  | Were the contained thoughts 'opinions',     EPN.NTSC.quality = Best|  | PSU would probably not agree with them.                            |  |                                                                    |  | ""Look, I don't know anything about                                 |  | douche, but I do know Anti-Freeze                                  |  | when I see it!"" - The Dead Milkmen                                 | []--------------------------------------------------------------------[] ",1
"From: royc@rbdc.wsnc.org (Roy Crabtree) Subject: Re: A Message for you Mr. President: How do you know what happened? Organization: Red Barn Data Center Lines: 26  In article <C5s9CK.2Bt@apollo.hp.com> nelson_p@apollo.hp.com (Peter Nelson) writes: >  who would be alive today if they had been released back when we were  	The word ""released"" is loaded:  until convicted in CXOurt, 	my children are my own.  	WHen the Feds use this type of loaded logic, you cannot win: 		1)  we accuse you 		2) we shoot a couple of your kids 		3)  we blame you for those shots 		4) we harrass you for 51 days 		5) we tell you to come out or die 		6) we gas you 		7) you burn to death 		8)  we blame you (prior to trial) for all of it >  debating this a few weeks ago. > > >---peter > > > > >   ",3
"From: ari@tahko.lpr.carel.fi (Ari Suutari) Subject: Any graphics packages available for AIX ? Organization: Carelcomp Oy Lines: 24 NNTP-Posting-Host: tahko.lpr.carel.fi Keywords: gks graphics   	Does anybody know if there are any good 2d-graphics packages 	available for IBM RS/6000 & AIX ? I'm looking for something 	like DEC's GKS or Hewlett-Packards Starbase, both of which 	have reasonably good support for different output devices 	like plotters, terminals, X etc.  	I have tried also xgks from X11 distribution and IBM's implementation 	of Phigs. Both of them work but we require more output devices 	than just X-windows.  	Our salesman at IBM was not very familiar with graphics and 	I am not expecting for any good solutions from there.   		Ari  ---  	Ari Suutari			ari@carel.fi 	Carelcomp Oy 	Lappeenranta 	FINLAND  ",1
"From: ednclark@kraken.itc.gu.edu.au (Jeffrey Clark) Subject: Re: some thoughts. Keywords: Dan Bissell Nntp-Posting-Host: kraken.itc.gu.edu.au Organization: ITC, Griffith University, Brisbane, Australia Lines: 70  bissda@saturn.wwc.edu (DAN LAWRENCE BISSELL) writes:  >	The book says that Jesus was either a liar, or he was crazy ( a  >modern day Koresh) or he was actually who he said he was.  Or he was just convinced by religious fantasies of the time that he was the Messiah, or he was just some rebel leader that an organisation of Jews built into Godhood for the purpose off throwing of the yoke of Roman oppression, or.......  >	Some reasons why he wouldn't be a liar are as follows.  Who would  >die for a lie?   Are the Moslem fanatics who strap bombs to their backs and driving into Jewish embassies dying for the truth (hint: they think they are)? Were the NAZI soldiers in WWII dying for the truth?   People die for lies all the time.   >Wouldn't people be able to tell if he was a liar?  People   Was Hitler a liar? How about Napoleon, Mussolini, Ronald Reagan? We spend millions of dollars a year trying to find techniques to detect lying? So the answer is no, they wouldn't be able to tell if he was a liar if he only lied about some things.  >gathered around him and kept doing it, many gathered from hearing or seeing  >someone who was or had been healed.  Call me a fool, but I believe he did  >heal people.    Why do you think he healed people, because the Bible says so? But if God doesn't exist (the other possibility) then the Bible is not divinely inspired and one can't use it as a piece of evidence, as it was written by unbiased observers.  >	Niether was he a lunatic.  Would more than an entire nation be drawn  >to someone who was crazy.  Very doubtful, in fact rediculous.  For example   Were Hitler or Mussolini lunatics? How about Genghis Khan, Jim Jones... there are thousands of examples through history of people being drawn to lunatics.  >anyone who is drawn to David Koresh is obviously a fool, logical people see  >this right away. >	Therefore since he wasn't a liar or a lunatic, he must have been the  >real thing.    So we obviously cannot rule out liar or lunatic not to mention all the other possibilities not given in this triad.  >	Some other things to note.  He fulfilled loads of prophecies in  >the psalms, Isaiah and elsewhere in 24 hrs alone.  This in his betrayal   Possibly self-fulfilling prophecy (ie he was aware what he should do in order to fulfil these prophecies), possibly selective diting on behalf of those keepers of the holy bible for a thousand years or so before the general; public had access. possibly also that the text is written in such riddles (like Nostradamus) that anything that happens can be twisted to fit the words of raving fictional 'prophecy'.  >and Crucifixion.  I don't have my Bible with me at this moment, next time I  >write I will use it.              [stuff about how hard it is to be a christian deleted]  I severely recommend you reconsider the reasons you are a christian, they are very unconvincing to an unbiased observer.  Jeff.  ",0
"From: nsmca@aurora.alaska.edu Subject: Re: Portable Small Ground Station?dir Article-I.D.: aurora.1993Apr5.185700.1 Organization: University of Alaska Fairbanks Lines: 21 Nntp-Posting-Host: acad3.alaska.edu  In article <C4zGAM.2nJ@zoo.toronto.edu>, henry@zoo.toronto.edu (Henry Spencer) writes: > In article <1993Apr2.214705.1@aurora.alaska.edu> nsmca@aurora.alaska.edu writes: >>How difficult would it be to set up your own ground station? >  > Ground station for *what*?  At one extreme, some of the amateur-radio > satellites have sometimes been reachable with hand-held radios.  At the > other, nothing you can do in your back yard will let you listen in on > Galileo.  Please be more specific. > --  > All work is one man's work.             | Henry Spencer @ U of Toronto Zoology >                     - Kipling           |  henry@zoo.toronto.edu  utzoo!henry   SPECIFIC: Basically to be able to do the things the big dadies can do.. Monitor, and control if need be the Shuttle...  Such as the one in Australia and such....  == Michael Adams, nsmca@acad3.alaska.edu -- I'm not high, just jacked ",2
"From: bil@okcforum.osrhe.edu (Bill Conner) Subject: Re: some thoughts. Nntp-Posting-Host: okcforum.osrhe.edu Organization: Okcforum Unix Users Group X-Newsreader: TIN [version 1.1 PL9] Lines: 18  Kent Sandvik (sandvik@newton.apple.com) wrote: : In article <11838@vice.ICO.TEK.COM>, bobbe@vice.ICO.TEK.COM (Robert : Beauchaine) wrote: : >   Someone spank me if I'm wrong, but didn't Lord, Liar, or Lunatic : >   originate with C.S. Lewis?  Who's this Campollo fellow anyway?  : I do think so, and isn't there a clear connection with the ""I do : believe, because it is absurd"" notion by one of the original : Christians (Origen?).  There is a similar statement attributed to Anselm, ""I believe so that I may understand"". In both cases reason is somewhat less exalted than anyone posting here could accept, which means that neither statement can be properly analysed in this venue.  Bill   ",0
