,Unnamed: 0,text,target
0,0,from rychfestivaledacuk r hawkes subject 3ds where did all the texture rules go lines 21  hi  ive noticed that if you only save a model with all your mapping planes positioned carefully to a 3ds file that when you reload it after restarting 3ds they are given a default position and orientation  but if you save to a prj file their positionsorientation are preserved  does anyone know why this information is not stored in the 3ds file  nothing is explicitly said in the manual about saving texture rules in the prj file  id like to be able to read the texture rule information does anyone have  the format for the prj file  is the cel file format available from somewhere  rych   rycharde hawkes9999email rychfestivaledacuk virtual environment laboratory dept of psychology999tel   44 31 650 3426 univ of edinburgh999fax   44 31 667 0150  ,1
1,1,subject re biblical backing of koreshs 302 tape cites enclosed from kmcvayonebalmanacbcca ken mcvay organization the old frogs almanac lines 20  in article 20apr199301460499utarlgutaedu b645zawutarlgutaedu stephen writes  seems to me koresh is yet another messenger that got killed for the message he carried which says nothing about the   seems to be barring evidence to the contrary that koresh was simply another deranged fanatic who thought it neccessary to take a whole bunch of folks with him children and all to satisfy his delusional mania jim jones circa 1993  in the mean time we sure learned a lot about evil and corruption are you surprised things have gotten that rotten  nope  fruitcakes like koresh have been demonstrating such evil corruption for centuries   the old frogs almanac  a salute to that old frog hissef ryugen fisher       604 2453205 v32 604 2454366 2400x4 sco xenix 232 gt    ladysmith british columbia canada serving central vancouver island   with public access usenet and internet mail  home to the holocaust almanac ,3
2,2,from markperewp201f208n103z1fidonetorg subject re comet in temporary orbit around jupiter xsender newtout 008 feb 23 1993 lines 15  in a message of apr 19 0455 jgarlandkeanucsmunca writes   in article 1993apr1902035926996sqsqcom msbsqsqcom mark brader   writes  mb                                                             so the mb 1970 figure seems unlikely to actually be anything but a perijove  jgsorry perijovesim not used to talking this language  couldnt we just say periapsis or apoapsis      msged 207 ,2
3,3,from dpwseicmuedu david wood subject request for support organization software engineering institute lines 35    i have a request for those who would like to see charley wingate respond to the charley challenges and judging from my email there appear to be quite a few of you    it is clear that mr wingate intends to continue to post tangential or unrelated articles while ingoring the challenges themselves  between the last two repostings of the challenges i noted perhaps a dozen or more posts by mr wingate none of which answered a single challenge    it seems unmistakable to me that mr wingate hopes that the questions will just go away and he is doing his level best to change the subject  given that this seems a rather common nettheist tactic i would like to suggest that we impress upon him our desire for answers in the following manner  1 ignore any future articles by mr wingate that do not address the challenges until he answers them or explictly announces that he refuses to do so  or  2 if you must respond to one of his articles include within it something similar to the following      please answer the questions posed to you in the charley challenges  really im not looking to humiliate anyone here i just want some honest answers  you wouldnt think that honesty would be too much to ask from a devout christian would you    nevermind that was a rhetorical question  dave wood ,0
4,4,from prbaccessdigexcom pat subject conference on manned lunar exploration  may 7  crystal city organization express access online communications greenbelt md usa lines 9 distribution na nntppostinghost accessdigexnet   awst  had a brief blurb on a manned lunar exploration confernce may 7th  at crystal city virginia under the auspices of aiaa  does anyone know more about this  how much to attend  anyone want to go  pat ,2
5,5,from nanci ann miller nm0wandrewcmuedu subject re genocide is caused by atheism organization sponsored account school of computer science carnegie mellon pittsburgh pa lines 27 nntppostinghost andrewcmuedu inreplyto 1993apr502050419326ultbiscritedu  snm6394ultbiscritedu sn mozumder  writes  more horrible deaths resulted from atheism than anything else  there are definitely quite a few horrible deaths as the result of both atheists and theists  im sure bobby can list quite a few for the atheist side but fails to recognize that the theists are equally proficient at genocide  perhaps since im a bit weak on history somone here would like to give a list of wars causedled by theists  i can think of a few hitler claimed to be a christian for example but a more complete list would probably be more effective in showing bobby just how absurd his statement is   peace  on a side note i notice you always sign your posts peace  perhaps you should take your own advice and leave the atheists in peace with their beliefs   bobby mozumder  nanci   if you know and are sure of the author of this quote please send me email nm0wandrewcmuedu lying to ourselves is more deeply ingrained than lying to others  ,0
6,6,from waleslarrisonofa123fidonetorg subject re clementine mission name xsender newtout 008 feb 23 1993 lines 27  mark prado    please go just one step further how has the word clementine been associated with mining    old pioneer song from the 1850s or so goes as follows      in a cavern in a canyon    excavating for a mine    dwelt a miner fortyniner    and his daughter clementine    chorus   oh my darling oh my darling    oh my darling clementine    you are lost and gone forever    oh my darling clementine     ive also had it explained but not confirmed from a reliable data source that clementine is an acronym  something like combined lunar elemental mapper experiment on extended non terrestrial intercept near earth  personally i think that acronym was made up to fit the name if it really is an acronym    wales larrison                           space technology investor   maximus 201wb ,2
7,7,from mjw19clcamacuk mj williams subject re rumours about 3do  keywords 3do arm qt compact video replyto mjw19clcamacuk organization the national society for the inversion of cuddly tigers lines 32 nntppostinghost earithclcamacuk  in article 2bd0760518974newsserviceuciedu rbarrisorionoacuciedu robert c barris writes                                                                      we got to see the unit displaying fullscreen movies using the compactvideo codec which was nice very little blockiness showing clips from jaws and backdraft  and a very high frame rate to boot like 30fps  acorn replay running on a 25mhz arm 3 processor the arm 3 is about 20 slower than the arm 6 does this in software off a standard cdrom 16 bit colour at about the same resolution so what if the computer only has 8 bit colour support realtime dithering too the 3d0o is supposed to have a couple of dsps  the arm being used for housekeeping  im not sure how a centris20mhz 040 stacks up against the 25 mhz arm in the 3do box obviously the arm is faster but how much  a 25mhz arm 6xx should clock around 20 arm mips say 18 flat out depends really on the surrounding system and whether you are talking arm6x or arm6xx the latter has a cache and so is essential to run at this kind of speed with slower memory  ill stop saying things there cos ill hopefully be working for arm after graduation  mike  ps dont pay heed to what reps from philips say if the 3d0o doesnt beat the    pants off 3di then ill eat this postscript        michael williams                     part ii computer science tripos  mjw19phxcamacuk                          university of cambridge   cymdeithas genedlaethol traddodiad troi teigrod mwythus ben i waered ,1
8,8,from henryzootorontoedu henry spencer subject re japanese moon landing organization u of toronto zoology lines 14  in article c5kys1c6rpanixcom dannybpanixcom daniel burstein writes a short story in the newspaper a few days ago made some sort of mention about how the japanese using what sounded like a gravity assist had just managed to crash or crashland a package on the moon  their hiten engineeringtest mission spent a while in a highly eccentric earth orbit doing lunar flybys and then was inserted into lunar orbit using some very tricky gravityassistlike maneuvering  this meant that it would crash on the moon eventually since there is no such thing as a stable lunar orbit as far as anyone knows and i believe i recall hearing recently that it was about to happen   all work is one mans work              henry spencer  u of toronto zoology                      kipling             henryzootorontoedu  utzoohenry ,2
9,9,from hendrixoasysdtnavymil dane hendrix subject processing of stereo images replyto hendrixoasysdtnavymil dane hendrix organization code 1542 dtmb bethesda md lines 16  im interested in find out what is involved in processing pairs of  stereo photographs  i have blackandwhite photos and would like  to obtain surface contours  id prefer to do the processing on an sgi but would be interested in hearing what softwarehardware is used for this type of image processing  please email andor post to compsyssgigraphics your responses  thanks  dane hendrix                               email danewizarddtnavymil  dtmb aka headquarters carderock div  or hendrixoasysdtnavymil naval surface warfare center               or hendrixnasnasagov  code 1542 bethesda md 200845000         phone 3012271340 ,1
